TransID,Fecha,Producto,Cantidad,Precio,ClienteID,Sucursal
10001,05/01/2025,Silla cedro,10,150,C001,Lima Centro
10002,05/01/2025,Mesa roble,3,350,C002,Lima Centro
10003,12/01/2025,Cama queen,5,450,C003,Miraflores
10004,20/01/2025,Estante triplay,8,180,C001,Lima Centro
10005,03/02/2025,Silla cedro,15,150,C004,San Isidro
10006,10/02/2025,Ropero,2,890,C003,Miraflores
10007,15/02/2025,Mesa roble,5,350,C005,Lima Centro
10008,01/03/2025,Sillón,3,520,C002,Miraflores
10009,10/03/2025,Cama king,2,680,C004,San Isidro
10010,22/03/2025,Silla cedro,20,150,C005,Lima Centro
